city,name,review_count,rating,category,attributes,longitude,latitude
Bangkok,Erawan Shrine,3493,4.6,Pilgrimage place,Hindu shrine featuring a gilded statue of the god Brahma & often the site of rituals & dances.,100.540438,13.7443125
Bangkok,Damnoen Saduak Floating Market,17329,3.8,Floating market,Floating market place featuring vendors in wooden boats filled with goods & souvenirs for sale.,99.9586875,13.5201875
Bangkok,Chao Phraya Sky Park,329,4.4,State park,,100.499063,13.7395625
Bangkok,Former Thai Rama Theatre,,,Tourist attraction,,100.493188,13.7240625
Bangkok,Wat Benchamabophit Dusitwanaram,6004,4.6,Buddhist temple,Ornate temple constructed of white Italian marble & featuring a mix of European & Thai design.,100.514187,13.7665625
Bangkok,Wat Sommanat Ratchaworawihan,1988,4.4,Buddhist temple,"Large monastery complex founded in 1853, with Buddhist relics, 2 pagodas & a military crematorium.",100.510562,13.7606875
Bangkok,The Erawan Museum,7520,4.4,Museum,"Museum known for its massive 3-headed elephant sculpture, plus cultural & religious artifacts.",100.588938,13.6285625
Bangkok,Kwan-Riam Floating Market,5222,4.2,Floating market,"One of the city's foremost floating markets, this market is most famous for its variety of foods.",100.710062,13.8006875
Bangkok,Bangkok Metropolitan Museum,23,3.9,Local history museum,,100.499063,13.7641875
Bangkok,CU Centenary Park,2186,4.6,State park,"Designed to absorb flooding, this peaceful, modern park has cascading ponds & sloped walkways.",100.523813,13.7394375
Bangkok,Royal Barges National Museum,541,4.2,Museum,Hangar museum housing some of the elaborately carved ceremonial barges used in royal processions.,100.484563,13.7619375
Bangkok,Ananta Samakhom Throne Hall,743,4.5,Historical place,Monumental Italianate building & former throne room with a museum exhibiting Thai arts & crafts.,100.513312,13.7715625
Bangkok,ChangChui,5941,4.1,Market,"Lively, modern destination featuring artisanal & designer shops, art exhibits, global fare & events.",100.470688,13.7891875
Bangkok,Benjakitti Park,5712,4.5,State park,"A running & biking path encircles a lake with boats, fish & turtles in this serene, scenic park.",100.557813,13.7299375
Bangkok,Wat Phra Chetuphon Wat Pho,24772,4.6,Buddhist temple,"Large landmark temple offering serene grounds with a giant reclining Buddha, historic art & statues.",100.493063,13.7465625
Bangkok,Sri Maha Mariamman Temple,7764,4.6,Hindu temple,"Built in 1873, this Hindu temple features an added 5-tiered tower with ornate, colorful carvings.",100.522938,13.7241875
Bangkok,Khaosan road,658,4.2,Tourist attraction,,100.498562,13.7586875
Bangkok,Victory Monument,10698,4.3,Monument,This tall obelisk with military statues memorializes Thailand's victory in the Franco-Thai War.,,
Bangkok,Bangkok Hangover Tour,14,4.5,Tourist attraction,,100.562313,13.7370625
Bangkok,Wat Mangkon Kamalawat Wat Leng Noei Yi,10929,4.5,Buddhist temple,"Chinese Buddhist temple with numerous courtyards & passageways, known for its New Year's festival.",100.509313,13.7429375
Bangkok,Holy Rosary Church,644,4.5,Catholic church,Gothic Revival church built between 1891–1897 with a tall steeple & elaborate stained-glass windows.,100.513438,13.7319375
Bangkok,Suan Luang Rama IX Park,12945,4.7,State park,"Large, lush green space featuring a jogging path, playground, lake with paddle boats & gardens.",100.658188,13.6880625
Bangkok,Childrens Discovery Museum,2587,4.4,Children's museum,"Science-focused museum featuring interactive indoor & outdoor exhibits for kids, plus a water park.",100.551313,13.8030625
Bangkok,Thonburi Palace The Old Palace,500,4.6,Historical place museum,"Palace of King Taksin from the 1700s, plus 2 Chinese-style residences & a whale's head shrine.",100.489688,13.7428125
Bangkok,Golden Mount Temple Wat Saket,1775,4.7,Buddhist temple,Ayutthhaya-era (1350-1767) Buddhist temple & pilgrimage site commanding extensive city views.,100.506563,13.7538125
Bangkok,Snake Farm Queen Saovabha Memorial Institute,1100,4.5,Education center,"Tourist attraction on a snake farm with venom extraction, snake-handling & photo opportunities.",100.532813,13.7329375
Bangkok,Bangkok Dolls Shop and Museum,53,3.9,Museum,"Museum, workshop & store featuring a collection of handcrafted dolls in traditional Thai costumes.",100.547063,13.7591875
Bangkok,Wat Lan Boon,2011,4.4,Buddhist temple,Riverside shrine with gilded Buddha statues & decorative interiors with gold detail.,100.719437,13.7245625
Bangkok,Bangkok Butterfly Garden and Insectarium,598,4.1,Museum,"Butterflies in a plant-filled domed enclosure with a stream & waterfall, plus an exhibition area.",100.554938,13.8095625
Bangkok,PARK @ SIAM,174,4.2,State park,,100.532312,13.7436875
Bangkok,Bangkok City Pillar Shrine,5824,4.7,City pillar shrine,"Small shrine housing the revered ""city pillar"" erected when Siam's capital moved to Bangkok in 1782.",100.494063,13.7525625
Bangkok,Taling Chan Floating Market,1650,4.2,Floating market,Traditional floating market where boats tie up along the river to sell a variety of food & drink.,100.456563,13.7763125
Bangkok,Batcat Museum & Toys,208,4.2,Toy museum,"Action figures, toys & collectibles related to superheroes & other popular characters.",100.613813,13.7496875
Bangkok,Benchasiri Park,5008,4.4,City park,"Green space set on 11.6 acres, offering a landscaped lake area, modern sculptures & outdoor events.",100.567938,13.7314375
Bangkok,Local Museum Bangkok Thonburi,7,4.4,Museum,,100.496313,13.7369375
Bangkok,Samut Prakan Ancient City,10254,4.5,Tourist attraction,Thailand-shaped park with life-sized & scaled-down replicas of prominent buildings & monuments.,100.623063,13.5400625
Bangkok,Wat Arun Ratchawararam Ratchawaramahawihan,29170,4.6,Buddhist temple,"Monumental Buddhist temple right on the river, with an iconic, ornately tiled central prang (spire).",100.488563,13.7441875
Bangkok,Pororo Aqua Park Bangkok,1388,4.3,Water park,"Cartoon character–themed water park on top of a shopping mall, with pools, slides & a snack bar.",100.634688,13.6688125
Bangkok,Bangkokian Museum,739,4.5,Museum,Compact museum focused primarily on 2 reconstructed houses from the early 20th century.,100.518188,13.7281875
Bangkok,Jim Thompson House Museum,9973,4.4,Heritage museum,Thai-style teak house by American entrepreneur Jim Thompson offering guided tours in many languages.,100.528188,13.7493125
Bangkok,King Power Mahanakhon,10385,4.6,Tourist attraction,"A 78-floor mirrored skyscraper used for hotel rooms & retail with a viewing deck at 1,030 feet.",100.528188,13.7235625
Bangkok,Siam Amazing Park,10427,4.3,Amusement park,"Sizable amusement park with waterslides, multiple manmade beaches, rides & games.",100.692313,13.8059375
Bangkok,Assumption Cathedral,868,4.7,Catholic church,"Renovated church dating to the 1820s, with Romanesque elements, Italian marble & ceiling frescoes.",100.514937,13.7230625
Bangkok,Asiatique The Riverfront,47270,4.3,Night market,"Illuminated at night, this sizable Ferris wheel in an open-air mall offers scenic river views.",100.503312,13.7044375
Bangkok,Phra Sumen Fort,1494,4.4,Fortress,This riverfront fort built in 1783 with an octagonal bunker & white exterior is in a small park.,,
Bangkok,Lhong 1919,6651,4.2,Tourist attraction,"19th-century Chinese mansion restored as a mixed-use complex with restaurants, stores & a shrine.",100.507563,13.7343125
Bangkok,SEA LIFE Bangkok Ocean World,13782,4.5,Aquarium,"Spacious aquarium offers hundreds of marine species on display, 4-D films & underwater experiences.",100.535063,13.7464375
Bangkok,Chaloemla Gardens,417,4.4,State park,"Small enclosed square with a sports court & a playground, known for its vivid, colorful wall murals.",100.531687,13.7500625
Bangkok,Museum of Contemporary Art MOCA,2749,4.7,Art museum,Privately built showcase of contemporary Thai art in a modern space with a cafe.,100.563063,13.8523125
Bangkok,Madame Tussauds BANGKOK,6664,4.5,Wax museum,Museum chain for life-size wax replicas of famous Americans & historic icons in themed galleries.,100.531687,13.7464375
Bangkok,Safari World,30705,4.5,Zoo,"Zoo & entertainment park featuring safari rides, marine attractions, live feedings & stunt shows.",100.703062,13.8654375
Bangkok,Wat Traimit Golden Buddha,15770,4.5,Buddhist temple,"This historic temple features a gilded exterior, exhibitions & a massive golden statue of Buddha.",100.513688,13.7379375
Bangkok,Bangkok Art & Culture Centre,14262,4.5,Art gallery,"Big, modern exhibition & performance venue for contemporary arts with a cafe, bookshop & library.",100.530188,13.7466875
Bangkok,Lumphini Park,28899,4.5,State park,"Central urban park featuring manicured lawns, playgrounds & an artificial lake with boat rentals.",100.541688,13.7314375
Bangkok,Wat Suthat Thepwararam Ratchaworahawihan,4591,4.7,Buddhist temple,,100.501062,13.7510625
Bangkok,The Giant Swing,1064,4.6,Tourist attraction,"Landmark monument in the form of a tall, scarlet frame, overlooking a 19th-century Buddhist temple.",100.501313,13.7518125
Bangkok,The Grand Palace,40767,4.5,Castle,"Built in 1782, this ornate royal palace complex now houses a museum & is open to visitors.",100.491563,13.7498125
Dubai,The Dubai Fountain,77767,4.8,Tourist attraction,"Massive fountain with 30-minute displays of water jets reaching 140 m, set to a music & light show.",55.2751875,25.1951875
Dubai,DM-yachts,3,5.0,Tourist attraction,,55.1476875,25.0839375
Dubai,Dubai Desert Safari,,,Tourist attraction,,55.4098125,25.2779375
Dubai,Ain Dubai by Dubai Holding,12194,4.7,Tourist attraction,Prominent 250m-tall observational wheel on Bluewaters Island featuring stunning panoramic views.,55.1238125,25.0799375
Dubai,Dubai Indoor Kartdrome,1138,4.4,Go-kart track,,55.2376875,25.0441875
Dubai,Chess Drive Desert Safari Dubai,5,5.0,Tourist attraction,,55.2708125,25.2048125
Dubai,travel agent,,,Tourist attraction,,55.2708125,25.2048125
Dubai,Dubai Hills Park - Emaar,479,4.6,Park,,55.2476875,25.1105625
Dubai,Dubai Community Theatre & Arts Centre,214,4.3,Tourist attraction,"Not-for-profit community center hosting a lively international events program, plus regular courses.",55.1993125,25.1176875
Dubai,Infinity des Lumires,559,4.5,Art museum,,55.2803125,25.1975625
Dubai,Dubai Polo & Equestrian Club,2204,4.4,Equestrian club,"Known for extravagant events, this chic sports club hosts regular international polo competitions.",55.2533125,25.0379375
Dubai,Dubai Miracle Garden,56792,4.6,Garden,"Vibrant garden with floral creations such as a life-size airplane, topiary animals & a heart tunnel.",55.2444375,25.0600625
Dubai,Desert Safari Dubai - Dune Buggy,3,5.0,Tourist attraction,,55.1914375,25.0651875
Dubai,BOUNCE Al Quoz,2542,4.3,Sports complex,"Indoor trampoline park with basketball hoops, dodgeball & a giant airbag, plus a coaching program.",55.2224375,25.1434375
Dubai,Dubai Gold Souk Starting Point For Tourist People,7,4.7,Tourist attraction,,55.2983125,25.2708125
Dubai,Xtreme Wake Dubai Marina,87,4.0,Tourist attraction,,55.1314375,25.0689375
Dubai,Desert Safari Dubai,6,4.3,Tourist attraction,,55.2491875,25.1735625
Dubai,Dubai Access,1,5.0,Tourist attraction,,55.2708125,25.2048125
Dubai,Heritage Village,1461,4.3,Heritage museum,"Cultural area showing traditional craftsmen & -women in action, plus demonstrations of pearl diving.",55.2911875,25.2699375
Dubai,Mall of the Emirates,106697,4.6,Shopping mall,"Huge shopping mall with international department stores, a ski centre and a multi-screen cinema.",55.2005625,25.1180625
Dubai,Water fountain dubai mall,13,4.8,Tourist attraction,,55.2769375,25.1959375
Dubai,Uz khalifa street's,1,5.0,Tourist attraction,,55.2715625,25.1995625
Dubai,The View at the Palm,3579,4.7,Tourist attraction,"Glass-framed observation deck from a high-rise overlooking the Palm Islands, with city & gulf views.",55.1398125,25.1136875
Dubai,The Light Room,1,3.0,Tourist attraction,,55.2775625,25.1995625
Dubai,Gurudwara Guru Nanak Darbar | UAE,7760,4.9,Gurudwara,"Sikh temple opened in 2012, with a pool at the front, a grand prayer hall & vegetarian meals.",55.1133125,25.0273125
Dubai,South beach lifestyle,64,5.0,Tourist attraction,,55.1419375,25.0919375
Dubai,Deira Creek,29,4.6,Tourist attraction,,55.2953125,25.2650625
Dubai,Al Fahidi underground parking entrance,22,4.7,Tourist attraction,,55.3021875,25.2643125
Dubai,Yalla Habibi Tour,,,Tourist attraction,,55.2025625,25.0649375
Dubai,Maha Balloons Dubai,,,Tourist attraction,,55.3250625,25.2636875
Dubai,Evening Desert Safari Dubai Deals,,,Tourist attraction,,55.2703125,25.1800625
Dubai,Bur Dubai Souk Market,8689,4.4,Market,"Bustling waterfront bazaar with vendors selling textiles, attire, lighting, purses, snacks & more.",55.2931875,25.2646875
Dubai,The Heart Of Europe - Dubai,61,4.2,Tourist attraction,,55.1615625,25.2315625
Dubai,Badshah Tours,,,Tourist attraction,,55.2729375,25.1831875
Dubai,Dubai Desert Safari,,,Tourist attraction,,55.2954375,25.2479375
Dubai,Dubai Trolley by Emaar - Dubai,11,4.5,Tourist attraction,,55.2763125,25.1914375
Dubai,Splash Pad,151,4.1,Amusement park,"Small, shaded, gated park catering to kids with spray features, a tipper bucket & dry play areas.",55.1324375,25.0785625
Dubai,TEPfactor Dubai,949,4.8,Indoor playground,Cavelike recreation space with over 20 challenges testing fitness & problem-solving skills.,55.1351875,25.0776875
Dubai,Dubai Walk Travel,,,Tourist attraction,,55.2489375,25.1754375
Dubai,The Dubai Mall,211612,4.7,Shopping mall,"Huge shopping and leisure centre, with department stores, plus an ice rink, aquarium and a cinema.",55.2795625,25.1988125
Dubai,Al Seef,5935,4.6,Tourist attraction,,55.3063125,25.2634375
Dubai,Dubai Private Adventure,48,4.5,Tourist attraction,,55.3218125,25.2659375
Dubai,Dubai Autodrome,7764,4.4,Car racing track,"Circuit for fast car & superbike races also used for experience days, karting & corporate events.",55.2374375,25.0520625
Dubai,Dubai Dhow,4,2.0,Tourist attraction,,55.1514375,25.0820625
Dubai,Sky Walk,,,Tourist attraction,,55.2700625,25.2006875
Dubai,KidZania,2955,4.4,Children's amusement center,"Sprawling, indoor playground with realistic setups where kids can pretend working in 40+ job roles.",55.2800625,25.1950625
Dubai,Ras al Khor Wildlife Sanctuary,1370,4.2,Wildlife park,This nature preservation area with mangroves & lagoons is home to a large population of flamingos.,,
Dubai,HAIDER TOURISM LLC DUBAI  ,67,4.3,Tourist attraction,,55.2784375,25.2176875
Dubai,Dubai Water Canal Boardwalk,599,4.5,Park,,55.2551875,25.1850625
Dubai,Wall of Old Dubai,50,4.3,Historical landmark,,55.2994375,25.2643125
Dubai,XPark Jr,502,4.3,Park,,55.2095625,25.1639375
Dubai,Creek Park Bird Show,113,4.5,Recreation center,,55.3269375,25.2348125
Dubai,Dubai Super Trees,57,4.7,Tourist attraction,,55.1241875,25.0780625
Dubai,Dubai Ice Rink,5722,4.5,Ice skating rink,Real snow & ice are on offer for winter sports inside this state-of-the-art family attraction.,55.2798125,25.1963125
Dubai,Safa Park,7711,4.3,Park,"Green, public space with sports pitches, bike rental, BBQ areas & a boating lake.",55.2466875,25.1851875
Dubai,Alserkal Avenue,3741,4.5,Cultural landmark,Well-known hub of the contemporary arts scene boasting an evolving collection of galleries.,55.2245625,25.1430625
Dubai,Abra Dubai,73,4.5,Tourist attraction,,55.3033125,25.2671875
Dubai,Dubai Safaris Tour,68,4.6,Tourist attraction,,55.2858125,25.2575625
Dubai,Riverland Dubai,7212,4.5,Tourist attraction,"Complex of stores & restaurants with architecture inspired by India, France & mid-century America.",55.0081875,24.9206875
Dubai,Laguna Waterpark,1666,4.1,Water park,"Shorefront waterpark with a lazy river, surf pool, slides, beach cabanas & food outlets.",55.2579375,25.2288125
Dubai,3D World Selfie Museum Dubai,290,4.7,Tourist attraction,,55.2334375,25.1603125
Dubai,OliOli - Dubai's First Experiential Play Museum,3530,4.7,Children's museum,"Children's learning center with interactive exhibits, climbing nets, water cannons & a cute cafe.",55.2434375,25.1704375
Dubai,Grand Bur Dubai Masjid,1190,4.7,Mosque,This mosque accommodates 1200 worshippers & allows non-Muslim visitors in the minaret only.,55.2966875,25.2641875
Dubai,Al Seef,9132,4.6,Tourist attraction,Upscale stores & restaurants in a unique creekside destination that blends old & new architecture.,55.3099375,25.2591875
Dubai,Dolphin Bay,699,4.4,Aquarium,"Palm-fringed lagoon with supervised opportunities to get close to dolphins, touch & swim with them.",55.1229375,25.1354375
Dubai,Deira Clocktower,4204,4.4,Tourist attraction,,55.3264375,25.2586875
Dubai,Burj Park,165,4.4,Park,"Island park at the base of a famed skyscraper, host to pop-up markets & contemporary sculptures.",55.2735625,25.1968125
Dubai,Bluewaters,2726,4.6,Tourist attraction,"Offshore complex with dining, shops & recreation including the huge Ain Dubai observation wheel.",55.1221875,25.0799375
Dubai,Dubai Waterfall,395,4.6,Tourist attraction,,55.2543125,25.1860625
Dubai,Etihad Museum,1918,4.6,Museum,High-tech displays on the history of the UAE in an ultramodern building with an eatery & library.,55.2698125,25.2413125
Dubai,Dubai Opera,6410,4.7,Opera house,"Classic musical theater, dance & live concerts staged in a futuristic venue with a restaurant.",55.2719375,25.1955625
Dubai,Madame Tussauds Dubai,495,4.3,Theme park,,55.1230625,25.0790625
Dubai,Dubai Marina Walk,15224,4.7,Tourist attraction,"7km palm-lined waterfront walkway dotted with global cafes, food outlets and restaurants.",55.1489375,25.0849375
Dubai,Theatre of Digital Art,1077,4.6,Tourist attraction,,55.1851875,25.1339375
Dubai,Zabeel Park,25778,4.5,Park,"Scenic, 117-acre park featuring a flea market, a landmark shaped like a giant picture frame & more.",55.2969375,25.2356875
Dubai,Jumeirah Mosque,4494,4.6,Mosque,Landmark mosque with guided tours offered to non-Muslims to promote cultural understanding.,55.2654375,25.2338125
Dubai,The Lost Chambers Aquarium,8370,4.5,Aquarium,"Atlantis-themed aquarium with underwater halls & tunnels housing marine life, plus feeding sessions.",55.1183125,25.1318125
Dubai,Dubai Gold Souk,2618,4.3,Gold dealer,"Marked by a wooden arch, this bustling bazaar features many stores selling dazzling gold jewellery. · In-store shopping · In-store pick-up · Delivery",55.2974375,25.2685625
Dubai,Aquaventure Waterpark,19018,4.5,Water park,"Vast water park with zip lines, slides through shark-filled lagoons & a splash area for kids.",55.1200625,25.1335625
Dubai,Dubai Garden Glow,12265,4.2,Park,"Elaborate, whimsical flower & animal displays constructed out of handmade colorful lights.",55.2965625,25.2275625
Dubai,Children's City,1287,4.3,Attraction,"Science-based learning center with galleries & exhibits, a planetarium, a theater & a nature center.",55.3281875,25.2359375
Dubai,Dubai Parks and Resorts,5461,4.5,Theme park,"Sprawling leisure & entertainment complex featuring a water park, 3 theme parks & multiple eateries.",55.0060625,24.9239375
Dubai,Al Fahidi Historical,8359,4.5,Historical landmark,Area of traditional-style buildings in typical materials housing arts & cultural exhibits & museums.,55.3004375,25.2638125
Dubai,La Mer,19719,4.6,Tourist attraction,"Streets of restaurants, cafes & boutiques, plus a sandy beach & trampoline park for kids.",55.2589375,25.2284375
Dubai,Wild Wadi Waterpark Dubai,13233,4.4,Water park,"Aquatic roller coasters & surfing wave machine in outdoor water park with pools, slides & tunnels.",55.1888125,25.1394375
Dubai,Dubai Butterfly Garden,6773,4.4,Tourist attraction,Ten climate-controlled domes housing over 50 different types of butterfly at this family attraction.,55.2465625,25.0616875
Dubai,Dubai Dolphinarium,11462,4.4,Aquarium,"Sizable indoor destination with dolphin & seal shows, interactive experiences & an Asian restaurant.",55.3268125,25.2346875
Dubai,The Green Planet,4404,4.4,Tourist attraction,"Tropical rainforest within a bio-dome sheltering colorful birds, reptiles & sloths, plus a cafe.",55.2606875,25.2065625
Dubai,Ski Dubai,25481,4.5,Ski resort,Indoor ski center with a mountain motif & snow for year-round skiing & snowboarding.,55.1983125,25.1171875
Dubai,IMG Worlds of Adventure,24149,4.4,Theme park,"Large indoor amusement park offering rides, eateries & shows with Cartoon Network & Marvel themes.",55.3180625,25.0821875
Dubai,Burj Khalifa,112037,4.7,Landmark,"Spired 828-meter skyscraper with a viewing deck, restaurant, hotel and offices and 11-hectare park.",55.2744375,25.1971875
Dubai,BollywoodParks Dubai,10006,4.4,Theme park,"Family-friendly theme park styled like a Bollywood set, with rides, stunt shows & performances.",55.0060625,24.9239375
Dubai,Dubai Aquarium & Underwater Zoo,47706,4.5,Aquarium,"Underwater tunnel under a huge shark- & ray-filled tank, plus a creepy crawly zone with snakes.",55.2785625,25.1975625
Dubai,Motiongate Dubai,17367,4.6,Theme park,"Playful Hollywood-themed park featuring rides & live entertainment, along with dining & shopping.",55.0070625,24.9230625
Dubai,The Dubai Frame,39284,4.6,Tourist attraction,"Unique, 150-m-tall building resembling a picture frame, with historic displays & panoramic views.",55.3003125,25.2355625
Dubai,Dubai Eye View at Sunset,24,4.7,Tourist attraction,,55.1364375,25.0841875
Hong Kong,Kung Man Village,3,5.0,Tourist attraction,,114.120938,22.2806875
Hong Kong,Golden Bauhinia Square,657,4.0,Tourist attraction,"Gathering place with a daily flag-raising ceremony, a symbolic golden flower statue & harbor views.",114.173937,22.2844375
Hong Kong,Hong Kong Wetland Park,4602,4.2,Ecological park,"Large wetland reserve with a visitor center featuring educational exhibits, a cafe & souvenir shop.",114.006563,22.4700625
Hong Kong,Victoria Harbour,3424,4.5,Tourist attraction,Bustling harbor area with waterfront scenery & popular nighttime light & fireworks displays.,114.168937,22.2825625
